timestamp_ms,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
0,-1.64567e-37,0,0,0,0,0,0,0,-0.529297
1,-1.6466e-37,-0.0763065,0.0266944,9.66104,0.419625,-0.252505,1.88867,3.91431,-0.534424
2,-1.64754e-37,-0.0887811,0.0327815,9.62991,0.429487,-0.2033,2.46387,3.91553,-0.526855
3,-1.64847e-37,-0.0774939,0.0370732,9.69033,0.262251,-0.398353,2.82422,3.92065,-0.533936
4,-1.64941e-37,-0.0860702,0.0392691,9.69217,0.311405,-0.304963,-5.00903,3.90259,-0.529785
5,-1.65034e-37,-0.081993,0.036036,9.6647,0.368845,-0.285266,3.08521,3.92188,-0.531494
6,-1.65127e-37,-0.0541181,0.0365506,9.66468,0.237636,-0.265568,7.71875,3.90869,-0.531494
7,-1.65221e-37,-0.0738886,0.0350702,9.66287,0.250776,-0.265568,5.82056,3.9165,-0.528076
8,-1.65314e-37,-0.0753483,0.0464222,9.66836,0.273726,-0.270486,-7.03345,3.91748,-0.532715
9,-1.65408e-37,-0.0804549,0.0449767,9.67569,0.14919,-0.162241,-7.66846,3.92139,-0.529053
10,-1.65501e-37,-0.0692538,0.0286829,9.65556,0.195014,-0.347508,5.66431,3.91528,-0.530518
11,-1.65594e-37,-0.0889102,0.0180039,9.6684,0.252415,-0.163957,-5.4292,3.90259,-0.531006
12,-1.65688e-37,-0.0776587,0.0440047,9.68485,0.213046,-0.293437,5.14819,3.90894,-0.530273
13,-1.65781e-37,-0.0791104,0.0351276,9.6574,0.249137,-0.293437,-3.67749,3.91846,-0.534424
14,-1.65875e-37,-0.065878,0.0318159,9.66105,0.344294,-0.103328,-5.0332,3.91211,-0.529053
15,-1.65968e-37,-0.0730734,0.0322808,9.62444,0.301518,-0.400043,2.78687,3.90918,-0.536133
16,-1.66062e-37,-0.0852977,0.0400702,9.65557,0.217964,-0.358958,1.03931,3.92212,-0.531494
17,-1.66155e-37,-0.0756413,0.0220665,9.6684,0.2622,-0.313108,-1.41333,3.91187,-0.531494
18,-1.66248e-37,-0.0898683,0.0279319,9.64827,0.314658,-0.380371,0.313232,3.91577,-0.529785
19,-1.66342e-37,-0.0782807,0.0357499,9.70684,0.265479,-0.419638,-6.09814,3.92383,-0.523926
20,-1.66435e-37,-0.0758845,0.0434106,9.66473,0.367218,-0.213187,0.0490723,3.91699,-0.533936
21,-1.66529e-37,-0.0628093,0.0493548,9.62442,0.347495,-0.370484,6.06689,3.92798,-0.530273
22,-1.66622e-37,-0.0750478,0.0371378,9.69403,0.334355,-0.383599,-4.21606,3.92871,-0.529297
23,-1.66715e-37,-0.067201,0.0521943,9.65557,0.41317,-0.241004,-7.83594,3.92896,-0.533203
24,-1.66809e-37,-0.0888744,0.0290051,9.64646,0.273752,-0.288493,-7.09302,3.92261,-0.529785
25,-1.66902e-37,-0.0994245,0.0440687,9.65745,0.321267,-0.277095,-4.67261,3.91724,-0.533691
26,-1.66996e-37,-0.0935231,0.0591608,9.65742,0.401516,-0.388619,-5.03809,3.91602,-0.529053
27,-1.67089e-37,-0.076514,0.0286114,9.67574,0.42275,-0.460774,-0.628174,3.91309,-0.534912
28,-1.67183e-37,-0.0941886,0.0164229,9.67763,0.377106,-0.247562,-1.06445,3.92578,-0.530762
29,-1.67276e-37,-0.0736814,0.0279032,9.67393,0.339299,-0.33278,3.19043,3.92188,-0.529297
30,-1.67369e-37,-0.0878727,0.0302351,9.67029,0.386839,-0.290261,4.8252,3.91528,-0.531494
31,-1.67463e-37,-0.0838027,0.0417368,9.65196,0.431075,-0.300173,5.24976,3.91138,-0.526367
32,-1.67556e-37,-0.0779229,0.0295053,9.64647,0.401388,-0.465718,0.42627,3.90942,-0.534424
33,-1.6765e-37,-0.0845108,0.0283396,9.69593,0.342578,-0.314799,-4.09741,3.91846,-0.528564
34,-1.67743e-37,-0.0785951,0.0507134,9.65926,0.357306,-0.198536,3.71362,3.8916,-0.531006
35,-1.67836e-37,-0.0966564,0.0366011,9.65566,0.416244,-0.426323,1.67358,3.91821,-0.531982
36,-1.6793e-37,-0.0942244,0.0317014,9.6575,0.452463,-0.288647,-1.79053,3.91943,-0.533203
37,-1.68023e-37,-0.0754553,0.0341977,9.6886,0.334279,-0.357421,-3.77417,3.91211,-0.533691
38,-1.68117e-37,-0.0658279,0.0382608,9.66476,0.30495,-0.245897,-6.66821,3.9187,-0.527344
39,-1.6821e-37,-0.0837666,0.031458,9.68679,0.436044,-0.237879,0.0541992,3.91309,-0.535645
