timestamp_ms,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
0,-4.4555e-38,0,0,0,0,0,0,0,-0.591064
1,-4.45784e-38,-0.350349,-0.118581,9.89009,2.96378,0.455741,-5.92603,3.99585,-0.586426
2,-4.46017e-38,-0.351079,-0.10874,9.8791,2.92452,0.532763,5.93042,3.99463,-0.587891
3,-4.46251e-38,-0.344555,-0.137493,9.85178,2.94575,0.4655,1.26343,3.99414,-0.586914
4,-4.46484e-38,-0.347025,-0.101976,9.86817,2.8195,0.439502,-0.785645,3.99536,-0.585205
5,-4.46718e-38,-0.355042,-0.108892,9.8609,2.83425,0.474081,4.45679,3.99829,-0.592041
6,-4.46951e-38,-0.341081,-0.104494,9.89023,2.74567,0.360725,5.17212,3.99316,-0.584717
7,-4.47185e-38,-0.339865,-0.106089,9.87563,2.89504,0.496545,-2.93262,3.99268,-0.590576
8,-4.47418e-38,-0.337004,-0.116458,9.89222,2.88848,0.506611,-4.40454,3.99536,-0.587402
9,-4.47652e-38,-0.348764,-0.134177,9.87953,2.90638,0.416295,1.47314,3.99414,-0.587402
10,-4.47885e-38,-0.369421,-0.106114,9.87024,2.91619,0.404871,1.41846,3.99512,-0.589355
11,-4.48119e-38,-0.344452,-0.107326,9.88132,2.98843,0.430639,-5.60669,3.9917,-0.588379
12,-4.48352e-38,-0.372695,-0.121237,9.85947,2.76064,0.486914,5.40918,3.99243,-0.590576
13,-4.48586e-38,-0.369631,-0.091528,9.88128,3.0164,0.5145,-6.03027,3.99487,-0.586426
14,-4.4882e-38,-0.344781,-0.103813,9.85033,2.79983,0.411352,-2.24902,3.9917,-0.590576
15,-4.49053e-38,-0.356519,-0.113814,9.9127,2.95889,0.419036,1.47681,3.99097,-0.589355
16,-4.49287e-38,-0.3645,-0.117222,9.86152,2.83771,0.485351,2.67944,3.99365,-0.585205
17,-4.4952e-38,-0.343262,-0.120353,9.8763,2.8539,0.411429,5.19824,3.99316,-0.590576
18,-4.49754e-38,-0.369576,-0.11252,9.86526,2.84122,0.569161,0.631592,3.99536,-0.585205
19,-4.49987e-38,-0.35751,-0.112084,9.86168,2.85377,0.387121,1.78613,3.99512,-0.587891
20,-4.50221e-38,-0.360036,-0.118737,9.87279,2.92933,0.416014,7.13965,3.99268,-0.590088
21,-4.50454e-38,-0.353272,-0.105535,9.85809,2.95409,0.468638,1.34058,3.99414,-0.587402
22,-4.50688e-38,-0.337654,-0.106304,9.90214,2.95264,0.520853,2.62866,3.99268,-0.593262
23,-4.50921e-38,-0.344004,-0.123907,9.90057,2.94573,0.425824,1.15869,3.99292,-0.586426
24,-4.51155e-38,-0.340903,-0.106882,9.89678,2.94415,0.455857,6.16553,3.99561,-0.591553
25,-4.51388e-38,-0.352564,-0.0987382,9.89675,2.94924,0.468215,-5.81616,3.9917,-0.587891
26,-4.51622e-38,-0.351377,-0.0893282,9.86923,2.95444,0.548849,-1.35962,3.99341,-0.587891
27,-4.51856e-38,-0.355976,-0.107059,9.85854,2.96898,0.487938,-3.66724,3.99243,-0.590088
