PacketCounter,SampleTimeFine,timestamp_ms,roll_deg,pitch_deg,yaw_deg
0,5.05736e+08,505736,2.05445,-73.7317,14.483
1,5.05744e+08,505744,1.96573,-73.7396,14.5781
2,5.05752e+08,505752,1.88016,-73.7477,14.6698
3,5.05761e+08,505761,1.83345,-73.7768,14.6499
4,5.05769e+08,505769,1.74596,-73.7853,14.7442
5,5.05777e+08,505777,1.72873,-73.8055,14.811
6,5.05786e+08,505786,1.64012,-73.8141,14.9064
7,5.05794e+08,505794,1.66793,-73.8402,14.8973
8,5.05802e+08,505802,1.58206,-73.8496,14.9896
9,5.05811e+08,505811,1.59851,-73.8595,14.9866
10,5.05819e+08,505819,1.5092,-73.8679,15.082
11,5.05827e+08,505827,1.4927,-73.8743,15.0981
12,5.05836e+08,505836,1.40345,-73.8832,15.194
13,5.05844e+08,505844,1.39137,-73.8902,15.2102
14,5.05852e+08,505852,1.30115,-73.8989,15.3069
15,5.05861e+08,505861,1.28195,-73.9007,15.3313
16,5.05869e+08,505869,1.19189,-73.9092,15.4279
17,5.05877e+08,505877,1.16879,-73.9058,15.4699
18,5.05886e+08,505886,1.07976,-73.9135,15.5644
19,5.05894e+08,505894,1.05229,-73.9101,15.603
20,5.05902e+08,505902,0.963197,-73.919,15.6984
21,5.05911e+08,505911,0.936738,-73.9149,15.7402
22,5.05919e+08,505919,0.847929,-73.9241,15.8352
23,5.05927e+08,505927,0.81747,-73.9219,15.8741
24,5.05936e+08,505936,0.728794,-73.9297,15.9693
25,5.05944e+08,505944,0.697036,-73.9285,16.0097
26,5.05952e+08,505952,0.606125,-73.9369,16.1073
27,5.05961e+08,505961,0.575688,-73.9375,16.1531
28,5.05969e+08,505969,0.486117,-73.9452,16.2488
29,5.05977e+08,505977,0.453804,-73.9471,16.2976
30,5.05986e+08,505986,0.366559,-73.9543,16.3914
31,5.05994e+08,505994,0.336944,-73.9557,16.4365
32,5.06002e+08,506002,0.245277,-73.964,16.5346
33,5.06011e+08,506011,0.211691,-73.966,16.5786
34,5.06019e+08,506019,0.122433,-73.9747,16.6741
35,5.06027e+08,506027,0.0862686,-73.9767,16.7217
36,5.06036e+08,506036,-0.00462961,-73.9852,16.818
37,5.06044e+08,506044,-0.0413373,-73.9884,16.8651
38,5.06052e+08,506052,-0.133331,-73.996,16.9628
39,5.06061e+08,506061,-0.170576,-73.999,17.0104
40,5.06069e+08,506069,-0.259667,-74.0067,17.1053
41,5.06077e+08,506077,-0.294838,-74.0106,17.1549
42,5.06086e+08,506086,-0.385668,-74.0185,17.2519
43,5.06094e+08,506094,-0.420961,-74.0221,17.3039
44,5.06102e+08,506102,-0.514289,-74.0301,17.4037
45,5.06111e+08,506111,-0.547183,-74.0338,17.4451
46,5.06119e+08,506119,-0.637968,-74.0414,17.5424
47,5.06127e+08,506127,-0.675168,-74.0437,17.5848
48,5.06136e+08,506136,-0.766871,-74.0511,17.6826
49,5.06144e+08,506144,-0.799485,-74.054,17.7279
50,5.06152e+08,506152,-0.890198,-74.0613,17.8255
51,5.06161e+08,506161,-0.926551,-74.0646,17.8705
52,5.06169e+08,506169,-1.01569,-74.0721,17.9661
53,5.06177e+08,506177,-1.05198,-74.0751,18.0167
54,5.06186e+08,506186,-1.14516,-74.0823,18.1159
55,5.06194e+08,506194,-1.1794,-74.0855,18.1691
56,5.06202e+08,506202,-1.26869,-74.0927,18.2641
57,5.06211e+08,506211,-1.30471,-74.0957,18.3119
58,5.06219e+08,506219,-1.39114,-74.1028,18.4049
59,5.06227e+08,506227,-1.4247,-74.1059,18.4439
60,5.06236e+08,506236,-1.51619,-74.1133,18.5414
61,5.06244e+08,506244,-1.55468,-74.1159,18.5923
62,5.06252e+08,506252,-1.64649,-74.1235,18.6903
63,5.06261e+08,506261,-1.68359,-74.1258,18.7388
64,5.06269e+08,506269,-1.77727,-74.1336,18.8387
65,5.06277e+08,506277,-1.81457,-74.1363,18.8908
66,5.06286e+08,506286,-1.90863,-74.144,18.9909
67,5.06294e+08,506294,-1.94474,-74.1478,19.0414
68,5.06302e+08,506302,-2.03789,-74.1545,19.141
69,5.06311e+08,506311,-2.07553,-74.1576,19.1897
70,5.06319e+08,506319,-2.17162,-74.1648,19.2918
71,5.06327e+08,506327,-2.20768,-74.1676,19.3389
72,5.06336e+08,506336,-2.30016,-74.1742,19.4369
73,5.06344e+08,506344,-2.34162,-74.1773,19.4872
74,5.06352e+08,506352,-2.43454,-74.1839,19.587
75,5.06361e+08,506361,-2.4744,-74.1871,19.6358
76,5.06369e+08,506369,-2.56815,-74.1933,19.7352
77,5.06377e+08,506377,-2.60329,-74.1963,19.7842
78,5.06386e+08,506386,-2.69573,-74.2032,19.8832
79,5.06394e+08,506394,-2.7313,-74.2062,19.9266
80,5.06402e+08,506402,-2.82575,-74.2125,20.0276
81,5.06411e+08,506411,-2.86084,-74.2146,20.0747
82,5.06419e+08,506419,-2.9502,-74.2215,20.1702
83,5.06427e+08,506427,-2.98748,-74.2243,20.2162
84,5.06436e+08,506436,-3.07559,-74.2311,20.3099
85,5.06444e+08,506444,-3.11326,-74.234,20.3588
86,5.06452e+08,506452,-3.20366,-74.2404,20.4551
87,5.06461e+08,506461,-3.24192,-74.2435,20.5028
88,5.06469e+08,506469,-3.33696,-74.2497,20.604
89,5.06477e+08,506477,-3.37255,-74.2514,20.6512
90,5.06486e+08,506486,-3.46394,-74.257,20.7485
91,5.06494e+08,506494,-3.4992,-74.2595,20.7956
92,5.06502e+08,506502,-3.59125,-74.2659,20.894
93,5.06511e+08,506511,-3.62828,-74.2685,20.9394
94,5.06519e+08,506519,-3.72487,-74.2755,21.043
95,5.06527e+08,506527,-3.76207,-74.2786,21.0917
96,5.06536e+08,506536,-3.85324,-74.2849,21.19
97,5.06544e+08,506544,-3.88721,-74.2878,21.2342
98,5.06552e+08,506552,-3.97965,-74.2935,21.333
99,5.06561e+08,506561,-4.01693,-74.297,21.3805
100,5.06569e+08,506569,-4.11171,-74.3026,21.4813
101,5.06577e+08,506577,-4.14765,-74.3048,21.5282
102,5.06586e+08,506586,-4.23987,-74.3101,21.6273
103,5.06594e+08,506594,-4.27463,-74.3131,21.6777
104,5.06602e+08,506602,-4.36801,-74.3191,21.7775
105,5.06611e+08,506611,-4.40048,-74.3219,21.8196
106,5.06619e+08,506619,-4.49521,-74.3277,21.9202
107,5.06627e+08,506627,-4.52911,-74.3302,21.963
