PacketCounter,SampleTimeFine,timestamp_ms,roll_deg,pitch_deg,yaw_deg
0,5.34302e+08,534302,-0.284618,1.14269,34.989
1,5.3431e+08,534310,-0.287448,1.13932,35.0005
2,5.34319e+08,534319,-0.29043,1.13641,35.0118
3,5.34327e+08,534327,-0.294288,1.12924,35.0201
4,5.34335e+08,534335,-0.297844,1.12674,35.0312
5,5.34344e+08,534344,-0.317985,1.12642,35.0226
6,5.34352e+08,534352,-0.320653,1.12281,35.0334
7,5.3436e+08,534360,-0.333854,1.12083,35.0566
8,5.34369e+08,534369,-0.336614,1.11824,35.0671
9,5.34377e+08,534377,-0.341142,1.10888,35.0754
10,5.34385e+08,534385,-0.343295,1.10568,35.086
11,5.34394e+08,534394,-0.343065,1.10061,35.1047
12,5.34402e+08,534402,-0.345597,1.09714,35.1147
13,5.3441e+08,534410,-0.345797,1.09178,35.0998
14,5.34419e+08,534419,-0.348656,1.08819,35.1107
15,5.34427e+08,534427,-0.34834,1.08518,35.1253
16,5.34435e+08,534435,-0.351143,1.08212,35.1366
17,5.34444e+08,534444,-0.349988,1.08274,35.1188
18,5.34452e+08,534452,-0.352414,1.07824,35.1308
19,5.3446e+08,534460,-0.351488,1.07764,35.1359
20,5.34469e+08,534469,-0.353302,1.07385,35.1472
21,5.34477e+08,534477,-0.353056,1.07201,35.1833
22,5.34485e+08,534485,-0.355708,1.06812,35.1939
23,5.34494e+08,534494,-0.354353,1.06719,35.2426
24,5.34502e+08,534502,-0.356736,1.06283,35.2526
25,5.3451e+08,534510,-0.356842,1.06116,35.2863
26,5.34519e+08,534519,-0.359772,1.05734,35.2973
27,5.34527e+08,534527,-0.35892,1.0554,35.2893
28,5.34535e+08,534535,-0.361051,1.05191,35.3002
29,5.34544e+08,534544,-0.361921,1.05174,35.2892
30,5.34552e+08,534552,-0.364035,1.04865,35.3003
31,5.3456e+08,534560,-0.363292,1.04759,35.3134
32,5.34569e+08,534569,-0.366069,1.04353,35.3242
33,5.34577e+08,534577,-0.366871,1.04201,35.3465
34,5.34585e+08,534585,-0.369651,1.0378,35.3571
35,5.34594e+08,534594,-0.370256,1.03706,35.3596
36,5.34602e+08,534602,-0.372257,1.03346,35.3703
37,5.3461e+08,534610,-0.373665,1.03209,35.3894
38,5.34619e+08,534619,-0.376842,1.02851,35.4006
39,5.34627e+08,534627,-0.37787,1.02609,35.4188
40,5.34635e+08,534635,-0.381234,1.02253,35.4298
41,5.34644e+08,534644,-0.38201,1.02063,35.4082
42,5.34652e+08,534652,-0.385543,1.01653,35.4186
43,5.3466e+08,534660,-0.386244,1.01408,35.4249
44,5.34669e+08,534669,-0.389436,1.01068,35.4361
45,5.34677e+08,534677,-0.39066,1.00843,35.4408
46,5.34685e+08,534685,-0.393644,1.00504,35.4524
47,5.34694e+08,534694,-0.394768,1.00362,35.4628
48,5.34702e+08,534702,-0.397314,0.99976,35.4734
49,5.3471e+08,534710,-0.398868,0.997452,35.4835
50,5.34719e+08,534719,-0.401118,0.994048,35.4935
51,5.34727e+08,534727,-0.403072,0.993221,35.4984
52,5.34735e+08,534735,-0.406173,0.989804,35.5097
53,5.34744e+08,534744,-0.406784,0.988545,35.5092
54,5.34752e+08,534752,-0.409821,0.984595,35.5198
55,5.3476e+08,534760,-0.410032,0.983701,35.5258
56,5.34769e+08,534769,-0.412721,0.980313,35.5368
57,5.34777e+08,534777,-0.413452,0.978604,35.5309
58,5.34785e+08,534785,-0.416284,0.973746,35.5417
59,5.34794e+08,534794,-0.417845,0.972131,35.5448
60,5.34802e+08,534802,-0.421397,0.969005,35.5563
61,5.3481e+08,534810,-0.422784,0.967695,35.555
62,5.34819e+08,534819,-0.425972,0.964012,35.5653
63,5.34827e+08,534827,-0.42709,0.96239,35.5703
64,5.34835e+08,534835,-0.42923,0.958092,35.5821
65,5.34844e+08,534844,-0.430004,0.956425,35.5776
66,5.34852e+08,534852,-0.433035,0.952404,35.588
67,5.3486e+08,534860,-0.434044,0.951367,35.6077
68,5.34869e+08,534869,-0.437094,0.948215,35.6188
69,5.34877e+08,534877,-0.437479,0.945911,35.6287
70,5.34885e+08,534885,-0.439516,0.94257,35.6402
71,5.34894e+08,534894,-0.44121,0.941612,35.6385
72,5.34902e+08,534902,-0.442899,0.93808,35.6488
73,5.3491e+08,534910,-0.44384,0.937072,35.66
74,5.34919e+08,534919,-0.447109,0.932926,35.6716
75,5.34927e+08,534927,-0.448344,0.93147,35.6751
76,5.34935e+08,534935,-0.4513,0.927796,35.686
77,5.34944e+08,534944,-0.45252,0.927,35.6871
78,5.34952e+08,534952,-0.455188,0.923296,35.6976
79,5.3496e+08,534960,-0.455181,0.922815,35.7167
80,5.34969e+08,534969,-0.457774,0.91945,35.7273
81,5.34977e+08,534977,-0.459362,0.918014,35.731
82,5.34985e+08,534985,-0.462023,0.914385,35.7422
83,5.34994e+08,534994,-0.46343,0.913213,35.7637
84,5.35002e+08,535002,-0.465907,0.909284,35.7746
85,5.3501e+08,535010,-0.46831,0.906536,35.7842
86,5.35019e+08,535019,-0.471644,0.903277,35.7945
87,5.35027e+08,535027,-0.473311,0.901658,35.7918
88,5.35035e+08,535035,-0.476093,0.898955,35.8032
89,5.35044e+08,535044,-0.477645,0.897613,35.8071
90,5.35052e+08,535052,-0.481142,0.893833,35.8185
91,5.3506e+08,535060,-0.48283,0.892021,35.8289
92,5.35069e+08,535069,-0.485808,0.889182,35.8401
93,5.35077e+08,535077,-0.486744,0.887845,35.8463
94,5.35085e+08,535085,-0.489423,0.884755,35.8571
95,5.35094e+08,535094,-0.490524,0.883394,35.8512
96,5.35102e+08,535102,-0.492793,0.879877,35.8615
97,5.3511e+08,535110,-0.494694,0.87825,35.8682
98,5.35119e+08,535119,-0.497443,0.875821,35.8796
99,5.35127e+08,535127,-0.498802,0.874849,35.8746
100,5.35135e+08,535135,-0.502434,0.871358,35.8864
101,5.35144e+08,535144,-0.5037,0.870586,35.885
102,5.35152e+08,535152,-0.506849,0.868094,35.8952
103,5.3516e+08,535160,-0.508819,0.866803,35.8961
104,5.35169e+08,535169,-0.511965,0.863353,35.9068
105,5.35177e+08,535177,-0.513213,0.86244,35.9169
106,5.35185e+08,535185,-0.516462,0.859026,35.9271
107,5.35194e+08,535194,-0.517687,0.857297,35.9304
108,5.35202e+08,535202,-0.520815,0.853668,35.941
109,5.3521e+08,535210,-0.52254,0.853584,35.9503
110,5.35219e+08,535219,-0.524926,0.850591,35.9609
111,5.35227e+08,535227,-0.524901,0.849297,35.967
112,5.35235e+08,535235,-0.527688,0.845864,35.9778
113,5.35244e+08,535244,-0.528531,0.844332,35.9905
114,5.35252e+08,535252,-0.532079,0.840626,36.0006
115,5.3526e+08,535260,-0.532722,0.839242,36.0117
116,5.35269e+08,535269,-0.535583,0.836656,36.0219
117,5.35277e+08,535277,-0.53591,0.836117,36.0043
118,5.35285e+08,535285,-0.538984,0.832718,36.0152
119,5.35294e+08,535294,-0.540291,0.831882,36.0241
120,5.35302e+08,535302,-0.543351,0.828859,36.0343
121,5.3531e+08,535310,-0.54418,0.827042,36.0512
122,5.35319e+08,535319,-0.547438,0.82385,36.0611
123,5.35327e+08,535327,-0.547839,0.822287,36.0585
124,5.35335e+08,535335,-0.550993,0.819197,36.0688
125,5.35344e+08,535344,-0.552592,0.817496,36.065
126,5.35352e+08,535352,-0.555426,0.814429,36.076
127,5.3536e+08,535360,-0.557135,0.814107,36.076
128,5.35369e+08,535369,-0.560263,0.81193,36.0857
129,5.35377e+08,535377,-0.560827,0.81082,36.0945
130,5.35385e+08,535385,-0.56313,0.807004,36.1051
131,5.35394e+08,535394,-0.564026,0.80577,36.1092
132,5.35402e+08,535402,-0.56662,0.80187,36.1193
133,5.3541e+08,535410,-0.567215,0.801504,36.117
134,5.35419e+08,535419,-0.569949,0.79767,36.127
135,5.35427e+08,535427,-0.571182,0.796298,36.1226
136,5.35435e+08,535435,-0.574028,0.792801,36.1329
137,5.35444e+08,535444,-0.575225,0.791924,36.1406
138,5.35452e+08,535452,-0.577594,0.788279,36.1497
139,5.3546e+08,535460,-0.578396,0.787338,36.1362
140,5.35469e+08,535469,-0.581747,0.783527,36.1464
141,5.35477e+08,535477,-0.582357,0.782492,36.1516
142,5.35485e+08,535485,-0.585522,0.779319,36.1617
143,5.35494e+08,535494,-0.587405,0.778031,36.1751
144,5.35502e+08,535502,-0.590422,0.774614,36.1851
145,5.3551e+08,535510,-0.591353,0.77385,36.1913
146,5.35519e+08,535519,-0.594086,0.770581,36.2009
147,5.35527e+08,535527,-0.595235,0.769779,36.2068
148,5.35535e+08,535535,-0.598522,0.765744,36.2166
149,5.35544e+08,535544,-0.599255,0.765126,36.2238
150,5.35552e+08,535552,-0.601831,0.761357,36.2337
151,5.3556e+08,535560,-0.602168,0.759995,36.2306
152,5.35569e+08,535569,-0.605089,0.755795,36.2403
153,5.35577e+08,535577,-0.606908,0.755279,36.2476
154,5.35585e+08,535585,-0.609355,0.751307,36.2576
155,5.35594e+08,535594,-0.608841,0.750526,36.2756
156,5.35602e+08,535602,-0.612583,0.746693,36.2848
157,5.3561e+08,535610,-0.613695,0.746077,36.2843
158,5.35619e+08,535619,-0.61618,0.742594,36.2935
159,5.35627e+08,535627,-0.61715,0.74238,36.2939
160,5.35635e+08,535635,-0.618917,0.738916,36.3037
161,5.35644e+08,535644,-0.618349,0.737641,36.298
162,5.35652e+08,535652,-0.620952,0.734578,36.3074
163,5.3566e+08,535660,-0.621462,0.733654,36.314
164,5.35669e+08,535669,-0.624808,0.729246,36.3242
165,5.35677e+08,535677,-0.626148,0.728114,36.3289
166,5.35685e+08,535685,-0.629248,0.72609,36.3389
167,5.35694e+08,535694,-0.630229,0.725158,36.3494
168,5.35702e+08,535702,-0.633428,0.721646,36.359
169,5.3571e+08,535710,-0.633831,0.721685,36.3528
170,5.35719e+08,535719,-0.636032,0.718975,36.3621
171,5.35727e+08,535727,-0.636584,0.718808,36.3339
172,5.35735e+08,535735,-0.640099,0.715811,36.3434
173,5.35744e+08,535744,-0.64111,0.715588,36.3387
174,5.35752e+08,535752,-0.644153,0.712399,36.3479
175,5.3576e+08,535760,-0.644386,0.711058,36.3572
176,5.35769e+08,535769,-0.647921,0.708028,36.3663
177,5.35777e+08,535777,-0.648261,0.707776,36.3625
178,5.35785e+08,535785,-0.650255,0.703976,36.372
179,5.35794e+08,535794,-0.651481,0.704217,36.3769
180,5.35802e+08,535802,-0.654277,0.700656,36.386
181,5.3581e+08,535810,-0.654756,0.70019,36.3901
182,5.35819e+08,535819,-0.656929,0.696462,36.3992
183,5.35827e+08,535827,-0.658155,0.69651,36.393
184,5.35835e+08,535835,-0.661598,0.693191,36.4026
185,5.35844e+08,535844,-0.66225,0.692016,36.4028
186,5.35852e+08,535852,-0.664481,0.688507,36.4114
187,5.3586e+08,535860,-0.665033,0.687623,36.4112
188,5.35869e+08,535869,-0.667862,0.68475,36.4209
189,5.35877e+08,535877,-0.668219,0.684805,36.4315
190,5.35885e+08,535885,-0.670481,0.681961,36.4408
191,5.35894e+08,535894,-0.670188,0.680842,36.4521
192,5.35902e+08,535902,-0.673365,0.677841,36.4611
193,5.3591e+08,535910,-0.672444,0.677816,36.4568
194,5.35919e+08,535919,-0.674851,0.675234,36.4651
195,5.35927e+08,535927,-0.675797,0.674599,36.4659
196,5.35935e+08,535935,-0.677849,0.671371,36.4748
197,5.35944e+08,535944,-0.677504,0.671533,36.4753
198,5.35952e+08,535952,-0.680304,0.668571,36.4849
199,5.3596e+08,535960,-0.680633,0.669025,36.472
200,5.35969e+08,535969,-0.683245,0.665616,36.4807
201,5.35977e+08,535977,-0.684322,0.666292,36.4797
202,5.35985e+08,535985,-0.686856,0.663226,36.4887
203,5.35994e+08,535994,-0.686667,0.663389,36.5088
204,5.36002e+08,536002,-0.689308,0.660151,36.5168
205,5.3601e+08,536010,-0.689976,0.660751,36.5237
206,5.36019e+08,536019,-0.692489,0.657335,36.5324
207,5.36027e+08,536027,-0.692757,0.658412,36.5386
208,5.36035e+08,536035,-0.696035,0.655159,36.5473
209,5.36044e+08,536044,-0.696023,0.65605,36.5492
210,5.36052e+08,536052,-0.698456,0.652338,36.5573
