PacketCounter,SampleTimeFine,timestamp_ms,roll_deg,pitch_deg,yaw_deg
0,5.39491e+08,539491,1.56673,-72.2347,61.6814
1,5.395e+08,539500,1.56717,-72.2318,61.6958
2,5.39508e+08,539508,1.56799,-72.2287,61.7103
3,5.39516e+08,539516,1.60262,-72.2304,61.6473
4,5.39525e+08,539525,1.60018,-72.2268,61.6655
5,5.39533e+08,539533,1.60199,-72.2033,61.6533
6,5.39541e+08,539541,1.60083,-72.1999,61.6698
7,5.3955e+08,539550,1.59769,-72.1904,61.646
8,5.39558e+08,539558,1.59743,-72.1884,61.6621
9,5.39566e+08,539566,1.58755,-72.1861,61.6554
10,5.39575e+08,539575,1.58911,-72.1821,61.6695
11,5.39583e+08,539583,1.59797,-72.1782,61.6693
12,5.39591e+08,539591,1.6005,-72.1744,61.6824
13,5.396e+08,539600,1.61055,-72.1703,61.6777
14,5.39608e+08,539608,1.60982,-72.1684,61.6945
15,5.39616e+08,539616,1.61062,-72.1679,61.6937
16,5.39625e+08,539625,1.60999,-72.1641,61.71
17,5.39633e+08,539633,1.60993,-72.1645,61.7088
18,5.39641e+08,539641,1.60786,-72.1612,61.7264
19,5.3965e+08,539650,1.61157,-72.161,61.7208
20,5.39658e+08,539658,1.60963,-72.1578,61.738
21,5.39666e+08,539666,1.61777,-72.1566,61.7289
22,5.39675e+08,539675,1.61999,-72.1531,61.7427
23,5.39683e+08,539683,1.62413,-72.1532,61.7438
24,5.39691e+08,539691,1.62525,-72.151,61.7582
25,5.397e+08,539700,1.63148,-72.1497,61.7548
26,5.39708e+08,539708,1.63286,-72.1461,61.769
27,5.39716e+08,539716,1.63472,-72.144,61.7703
28,5.39725e+08,539725,1.63592,-72.1403,61.785
29,5.39733e+08,539733,1.63998,-72.1391,61.7856
30,5.39741e+08,539741,1.64194,-72.1367,61.7988
31,5.3975e+08,539750,1.64266,-72.1349,61.7951
32,5.39758e+08,539758,1.64118,-72.1319,61.8124
33,5.39766e+08,539766,1.64377,-72.1314,61.8101
34,5.39775e+08,539775,1.64232,-72.128,61.8273
35,5.39783e+08,539783,1.64259,-72.127,61.8313
36,5.39791e+08,539791,1.64259,-72.1239,61.847
37,5.398e+08,539800,1.64462,-72.1226,61.8494
38,5.39808e+08,539808,1.64597,-72.1201,61.8636
39,5.39816e+08,539816,1.644,-72.1202,61.8694
40,5.39825e+08,539825,1.64475,-72.1163,61.8848
41,5.39833e+08,539833,1.64187,-72.1153,61.8858
42,5.39841e+08,539841,1.64032,-72.1117,61.9028
43,5.3985e+08,539850,1.63833,-72.1111,61.9058
44,5.39858e+08,539858,1.64024,-72.1076,61.9201
45,5.39866e+08,539866,1.64334,-72.1062,61.9212
46,5.39875e+08,539875,1.64279,-72.1036,61.9366
47,5.39883e+08,539883,1.64127,-72.1027,61.9449
48,5.39891e+08,539891,1.64075,-72.0991,61.9609
49,5.399e+08,539900,1.64141,-72.0975,61.967
50,5.39908e+08,539908,1.64153,-72.094,61.9829
51,5.39916e+08,539916,1.64261,-72.0928,61.9847
52,5.39925e+08,539925,1.64276,-72.0906,62.0005
53,5.39933e+08,539933,1.63997,-72.0902,62.0075
54,5.39941e+08,539941,1.64129,-72.0868,62.0212
55,5.3995e+08,539950,1.64048,-72.0858,62.0239
56,5.39958e+08,539958,1.64141,-72.0831,62.039
57,5.39966e+08,539966,1.64321,-72.0815,62.0399
58,5.39975e+08,539975,1.64285,-72.0787,62.0561
59,5.39983e+08,539983,1.64283,-72.0785,62.0593
60,5.39991e+08,539991,1.64337,-72.0751,62.0742
61,5.4e+08,540000,1.64566,-72.0746,62.0743
62,5.40008e+08,540008,1.64595,-72.0719,62.0895
63,5.40016e+08,540016,1.6456,-72.0715,62.0943
64,5.40025e+08,540025,1.6458,-72.0681,62.1087
65,5.40033e+08,540033,1.64761,-72.0679,62.1104
66,5.40041e+08,540041,1.64863,-72.0646,62.1245
67,5.4005e+08,540050,1.64987,-72.0637,62.125
68,5.40058e+08,540058,1.64936,-72.0613,62.1414
69,5.40066e+08,540066,1.64926,-72.0599,62.1455
70,5.40075e+08,540075,1.65089,-72.0565,62.1597
71,5.40083e+08,540083,1.65019,-72.0551,62.1655
72,5.40091e+08,540091,1.65178,-72.051,62.1794
73,5.401e+08,540100,1.65166,-72.05,62.1852
74,5.40108e+08,540108,1.65272,-72.0467,62.199
75,5.40116e+08,540116,1.65209,-72.0455,62.2038
76,5.40125e+08,540125,1.65259,-72.0421,62.2189
77,5.40133e+08,540133,1.65241,-72.0412,62.2211
78,5.40141e+08,540141,1.65221,-72.038,62.2367
79,5.4015e+08,540150,1.64922,-72.0373,62.243
80,5.40158e+08,540158,1.65344,-72.0341,62.254
81,5.40166e+08,540166,1.65119,-72.0323,62.2599
82,5.40175e+08,540175,1.65433,-72.0287,62.2724
83,5.40183e+08,540183,1.65463,-72.0271,62.2772
84,5.40191e+08,540191,1.65549,-72.0237,62.2919
85,5.402e+08,540200,1.65498,-72.0226,62.2947
86,5.40208e+08,540208,1.65582,-72.0198,62.3093
87,5.40216e+08,540216,1.65311,-72.0182,62.3145
88,5.40225e+08,540225,1.65432,-72.0148,62.3282
89,5.40233e+08,540233,1.6545,-72.0138,62.3294
90,5.40241e+08,540241,1.65634,-72.0094,62.3425
91,5.4025e+08,540250,1.65667,-72.0088,62.3454
92,5.40258e+08,540258,1.65887,-72.0057,62.3592
93,5.40266e+08,540266,1.65576,-72.0041,62.3648
94,5.40275e+08,540275,1.65538,-72.0003,62.3801
95,5.40283e+08,540283,1.6571,-71.9985,62.3828
96,5.40291e+08,540291,1.65744,-71.995,62.3978
97,5.403e+08,540300,1.65933,-71.9935,62.4007
98,5.40308e+08,540308,1.66182,-71.9904,62.4137
99,5.40316e+08,540316,1.66343,-71.9897,62.4159
100,5.40325e+08,540325,1.66482,-71.9871,62.4297
101,5.40333e+08,540333,1.66568,-71.9868,62.4301
102,5.40341e+08,540341,1.66588,-71.9837,62.4456
103,5.4035e+08,540350,1.66461,-71.9822,62.4493
104,5.40358e+08,540358,1.66812,-71.9789,62.4609
105,5.40366e+08,540366,1.66947,-71.9782,62.4622
106,5.40375e+08,540375,1.67258,-71.9744,62.4744
107,5.40383e+08,540383,1.67189,-71.9735,62.4791
108,5.40391e+08,540391,1.67379,-71.9701,62.4922
109,5.404e+08,540400,1.67315,-71.9697,62.4955
110,5.40408e+08,540408,1.67775,-71.9669,62.5059
111,5.40416e+08,540416,1.67989,-71.9656,62.5074
112,5.40425e+08,540425,1.67943,-71.9627,62.5231
113,5.40433e+08,540433,1.68006,-71.9615,62.5245
114,5.40441e+08,540441,1.684,-71.9579,62.535
115,5.4045e+08,540450,1.68787,-71.9563,62.5329
116,5.40458e+08,540458,1.68865,-71.9535,62.5466
117,5.40466e+08,540466,1.69138,-71.9531,62.5462
118,5.40475e+08,540475,1.69008,-71.9494,62.5623
119,5.40483e+08,540483,1.68927,-71.9487,62.5663
120,5.40491e+08,540491,1.6885,-71.9454,62.5818
121,5.405e+08,540500,1.68805,-71.9445,62.5836
122,5.40508e+08,540508,1.68742,-71.9409,62.5981
123,5.40516e+08,540516,1.68673,-71.9398,62.6017
124,5.40525e+08,540525,1.68719,-71.9368,62.616
125,5.40533e+08,540533,1.68832,-71.9364,62.6157
126,5.40541e+08,540541,1.68632,-71.9342,62.632
127,5.4055e+08,540550,1.68601,-71.9335,62.6336
128,5.40558e+08,540558,1.6881,-71.9304,62.647
129,5.40566e+08,540566,1.68642,-71.9297,62.6509
130,5.40575e+08,540575,1.6865,-71.9261,62.6658
131,5.40583e+08,540583,1.68953,-71.9256,62.6662
132,5.40591e+08,540591,1.68961,-71.9221,62.6808
133,5.406e+08,540600,1.68773,-71.9211,62.6844
134,5.40608e+08,540608,1.68987,-71.918,62.6971
135,5.40616e+08,540616,1.69262,-71.9172,62.6958
136,5.40625e+08,540625,1.69112,-71.9146,62.7118
137,5.40633e+08,540633,1.69054,-71.9135,62.7134
138,5.40641e+08,540641,1.69147,-71.9104,62.7265
139,5.4065e+08,540650,1.68823,-71.9098,62.7301
140,5.40658e+08,540658,1.68697,-71.9063,62.7459
141,5.40666e+08,540666,1.68662,-71.9056,62.747
142,5.40675e+08,540675,1.68952,-71.9034,62.7593
143,5.40683e+08,540683,1.68735,-71.9034,62.7642
144,5.40691e+08,540691,1.68986,-71.9007,62.7762
145,5.407e+08,540700,1.69107,-71.8988,62.7773
146,5.40708e+08,540708,1.69258,-71.8958,62.7904
147,5.40716e+08,540716,1.69401,-71.8949,62.7901
148,5.40725e+08,540725,1.69447,-71.8921,62.8041
149,5.40733e+08,540733,1.69358,-71.8911,62.8051
150,5.40741e+08,540741,1.69301,-71.888,62.8191
151,5.4075e+08,540750,1.69352,-71.8875,62.8187
152,5.40758e+08,540758,1.69387,-71.8847,62.832
153,5.40766e+08,540766,1.69273,-71.8842,62.8341
154,5.40775e+08,540775,1.69121,-71.8808,62.8492
155,5.40783e+08,540783,1.69138,-71.8797,62.8501
156,5.40791e+08,540791,1.69301,-71.8768,62.8629
157,5.408e+08,540800,1.694,-71.8762,62.8624
158,5.40808e+08,540808,1.69629,-71.873,62.8741
159,5.40816e+08,540816,1.6988,-71.8728,62.8719
160,5.40825e+08,540825,1.69742,-71.8698,62.887
161,5.40833e+08,540833,1.69725,-71.8684,62.8862
162,5.40841e+08,540841,1.6979,-71.8647,62.8989
163,5.4085e+08,540850,1.69757,-71.8645,62.8987
164,5.40858e+08,540858,1.69832,-71.8599,62.9119
165,5.40866e+08,540866,1.69692,-71.859,62.9123
166,5.40875e+08,540875,1.69555,-71.8561,62.9278
167,5.40883e+08,540883,1.69538,-71.8553,62.9287
168,5.40891e+08,540891,1.69286,-71.8526,62.946
169,5.409e+08,540900,1.69326,-71.8516,62.9446
170,5.40908e+08,540908,1.69141,-71.8497,62.9605
171,5.40916e+08,540916,1.68976,-71.8494,62.9619
172,5.40925e+08,540925,1.69036,-71.8457,62.9745
173,5.40933e+08,540933,1.68777,-71.8452,62.9761
174,5.40941e+08,540941,1.68971,-71.8417,62.988
