PacketCounter,SampleTimeFine,timestamp_ms,roll_deg,pitch_deg,yaw_deg
0,5.41545e+08,541545,-0.664939,0.195108,-59.3176
1,5.41553e+08,541553,-0.67429,0.19505,-59.3204
2,5.41561e+08,541561,-0.683827,0.19464,-59.323
3,5.4157e+08,541570,-0.694243,0.205205,-59.2646
4,5.41578e+08,541578,-0.704664,0.205318,-59.2672
5,5.41586e+08,541586,-0.698209,0.20927,-59.202
6,5.41595e+08,541595,-0.707278,0.208209,-59.2046
7,5.41603e+08,541603,-0.694161,0.207684,-59.1985
8,5.41611e+08,541611,-0.704123,0.207811,-59.2005
9,5.4162e+08,541620,-0.702525,0.218815,-59.1506
10,5.41628e+08,541628,-0.712276,0.217141,-59.1528
11,5.41636e+08,541636,-0.711717,0.224713,-59.1661
12,5.41645e+08,541645,-0.720606,0.225147,-59.1682
13,5.41653e+08,541653,-0.721602,0.224551,-59.1562
14,5.41661e+08,541661,-0.73121,0.224246,-59.1591
15,5.4167e+08,541670,-0.732118,0.222966,-59.122
16,5.41678e+08,541678,-0.742435,0.223202,-59.1249
17,5.41686e+08,541686,-0.744933,0.223087,-59.0734
18,5.41695e+08,541695,-0.75521,0.223455,-59.0757
19,5.41703e+08,541703,-0.759413,0.2221,-59.0222
20,5.41711e+08,541711,-0.769265,0.222238,-59.0252
21,5.4172e+08,541720,-0.772603,0.220535,-59.0058
22,5.41728e+08,541728,-0.78213,0.220678,-59.0081
23,5.41736e+08,541736,-0.785215,0.218815,-59.0037
24,5.41745e+08,541745,-0.795564,0.218661,-59.006
25,5.41753e+08,541753,-0.799073,0.215749,-58.9791
26,5.41761e+08,541761,-0.809362,0.216033,-58.9813
27,5.4177e+08,541770,-0.812993,0.214694,-58.9603
28,5.41778e+08,541778,-0.823213,0.21479,-58.963
29,5.41786e+08,541786,-0.826369,0.214889,-58.9791
30,5.41795e+08,541795,-0.836127,0.214703,-58.981
31,5.41803e+08,541803,-0.840123,0.214049,-58.9737
32,5.41811e+08,541811,-0.849852,0.214057,-58.9754
33,5.4182e+08,541820,-0.853452,0.213645,-58.9759
34,5.41828e+08,541828,-0.864159,0.213231,-58.9784
35,5.41836e+08,541836,-0.868127,0.212329,-58.9837
36,5.41845e+08,541845,-0.878244,0.212914,-58.9856
37,5.41853e+08,541853,-0.882088,0.213674,-59.1126
38,5.41861e+08,541861,-0.89253,0.212564,-59.1153
39,5.4187e+08,541870,-0.89604,0.211631,-59.0459
40,5.41878e+08,541878,-0.905668,0.211326,-59.0477
41,5.41886e+08,541886,-0.908922,0.211929,-58.9545
42,5.41895e+08,541895,-0.918867,0.212234,-58.9567
43,5.41903e+08,541903,-0.92212,0.211659,-59.0037
44,5.41911e+08,541911,-0.931889,0.210476,-59.0056
45,5.4192e+08,541920,-0.935533,0.208975,-59.0419
46,5.41928e+08,541928,-0.94576,0.208547,-59.0441
47,5.41936e+08,541936,-0.948812,0.207906,-58.9783
48,5.41945e+08,541945,-0.958948,0.208335,-58.9814
49,5.41953e+08,541953,-0.962344,0.207507,-59.0421
50,5.41961e+08,541961,-0.97208,0.207024,-59.0441
51,5.4197e+08,541970,-0.97521,0.206269,-59.0694
52,5.41978e+08,541978,-0.985252,0.206008,-59.0718
53,5.41986e+08,541986,-0.989144,0.205793,-58.9365
54,5.41995e+08,541995,-0.998422,0.205639,-58.9387
55,5.42003e+08,542003,-1.00208,0.204679,-58.9856
56,5.42011e+08,542011,-1.01247,0.205149,-58.9883
57,5.4202e+08,542020,-1.01524,0.205028,-58.9214
58,5.42028e+08,542028,-1.02498,0.205774,-58.9243
59,5.42036e+08,542036,-1.02831,0.205502,-58.9618
60,5.42045e+08,542045,-1.0378,0.204911,-58.9646
61,5.42053e+08,542053,-1.04112,0.203633,-58.9558
62,5.42061e+08,542061,-1.05102,0.203618,-58.9579
63,5.4207e+08,542070,-1.05491,0.203384,-59.0065
64,5.42078e+08,542078,-1.06434,0.203767,-59.0089
65,5.42086e+08,542086,-1.06801,0.203676,-59.0626
66,5.42094e+08,542094,-1.07792,0.203843,-59.0658
67,5.42103e+08,542103,-1.0821,0.204045,-59.0761
68,5.42111e+08,542111,-1.09127,0.203947,-59.079
69,5.42119e+08,542119,-1.09557,0.20353,-59.0915
70,5.42128e+08,542128,-1.10498,0.203608,-59.0937
71,5.42136e+08,542136,-1.10906,0.203965,-59.128
72,5.42144e+08,542144,-1.11905,0.203684,-59.1296
73,5.42153e+08,542153,-1.1227,0.203777,-59.1345
74,5.42161e+08,542161,-1.13275,0.203869,-59.1375
