PacketCounter,SampleTimeFine,timestamp_ms,roll_deg,pitch_deg,yaw_deg
0,5.41559e+08,541559,1.17296,-71.6251,74.9979
1,5.41568e+08,541568,1.19081,-71.627,74.9761
2,5.41576e+08,541576,1.14114,-71.6223,74.9949
3,5.41584e+08,541584,1.15963,-71.6245,74.9726
4,5.41593e+08,541593,1.17025,-71.6055,74.8956
5,5.41601e+08,541601,1.18953,-71.6076,74.8729
6,5.41609e+08,541609,1.21388,-71.598,74.8247
7,5.41618e+08,541618,1.23116,-71.6009,74.8039
8,5.41626e+08,541626,1.27076,-71.5976,74.7784
9,5.41634e+08,541634,1.28769,-71.5986,74.7579
10,5.41643e+08,541643,1.3056,-71.5939,74.744
11,5.41651e+08,541651,1.32387,-71.5971,74.722
12,5.41659e+08,541659,1.33437,-71.5932,74.7271
13,5.41668e+08,541668,1.3489,-71.5962,74.7086
14,5.41676e+08,541676,1.35631,-71.5931,74.7105
15,5.41684e+08,541684,1.3763,-71.5963,74.6868
16,5.41693e+08,541693,1.37973,-71.5942,74.6682
17,5.41701e+08,541701,1.39799,-71.596,74.646
18,5.41709e+08,541709,1.40079,-71.5926,74.6419
19,5.41718e+08,541718,1.4189,-71.5938,74.6193
20,5.41726e+08,541726,1.42267,-71.5921,74.6048
21,5.41734e+08,541734,1.44002,-71.5937,74.5838
22,5.41743e+08,541743,1.4433,-71.5925,74.5927
23,5.41751e+08,541751,1.46176,-71.5935,74.5702
24,5.41759e+08,541759,1.46355,-71.5933,74.5774
25,5.41768e+08,541768,1.48131,-71.5938,74.5564
26,5.41776e+08,541776,1.48819,-71.5949,74.5413
27,5.41784e+08,541784,1.507,-71.5973,74.5192
28,5.41793e+08,541793,1.51369,-71.5982,74.49
29,5.41801e+08,541801,1.52924,-71.6005,74.4711
30,5.41809e+08,541809,1.53831,-71.6026,74.4634
31,5.41818e+08,541818,1.55852,-71.6044,74.4399
32,5.41826e+08,541826,1.56668,-71.605,74.4343
33,5.41834e+08,541834,1.58453,-71.6071,74.4128
34,5.41843e+08,541843,1.59423,-71.6091,74.3988
35,5.41851e+08,541851,1.61266,-71.6125,74.377
36,5.41859e+08,541859,1.62435,-71.6143,74.3635
37,5.41868e+08,541868,1.64176,-71.6167,74.3417
38,5.41876e+08,541876,1.65181,-71.6167,74.3171
39,5.41884e+08,541884,1.6685,-71.6189,74.2965
40,5.41893e+08,541893,1.67765,-71.6199,74.2685
41,5.41901e+08,541901,1.69594,-71.622,74.2467
42,5.41909e+08,541909,1.70564,-71.6229,74.2296
43,5.41918e+08,541918,1.72362,-71.6247,74.2083
44,5.41926e+08,541926,1.73479,-71.6256,74.2018
45,5.41934e+08,541934,1.75519,-71.6283,74.1776
46,5.41943e+08,541943,1.76155,-71.6297,74.1809
47,5.41951e+08,541951,1.78085,-71.6314,74.158
48,5.41959e+08,541959,1.78773,-71.6318,74.1577
49,5.41968e+08,541968,1.80399,-71.6347,74.1381
50,5.41976e+08,541976,1.81127,-71.6359,74.1326
51,5.41984e+08,541984,1.83065,-71.6384,74.1093
52,5.41993e+08,541993,1.83673,-71.6399,74.0758
53,5.42001e+08,542001,1.85305,-71.6426,74.0555
54,5.42009e+08,542009,1.86128,-71.6435,74.0462
55,5.42018e+08,542018,1.88086,-71.6455,74.0234
