PacketCounter,SampleTimeFine,timestamp_ms,roll_deg,pitch_deg,yaw_deg
0,5.34368e+08,534368,-1.00758,-73.7653,58.6884
1,5.34376e+08,534376,-0.998359,-73.7684,58.673
2,5.34385e+08,534385,-0.995761,-73.7937,58.6496
3,5.34393e+08,534393,-0.987815,-73.7965,58.6354
4,5.34401e+08,534401,-0.950201,-73.8214,58.5907
5,5.3441e+08,534410,-0.943761,-73.8242,58.5778
6,5.34418e+08,534418,-0.918579,-73.8317,58.5479
7,5.34426e+08,534426,-0.91248,-73.8342,58.536
8,5.34435e+08,534435,-0.888672,-73.8383,58.5083
9,5.34443e+08,534443,-0.881606,-73.8418,58.4953
10,5.34451e+08,534451,-0.846348,-73.8448,58.4652
11,5.3446e+08,534460,-0.836662,-73.8475,58.4493
12,5.34468e+08,534468,-0.820414,-73.8512,58.4311
13,5.34476e+08,534476,-0.810188,-73.8542,58.4149
14,5.34485e+08,534485,-0.803908,-73.8583,58.4048
15,5.34493e+08,534493,-0.794184,-73.8623,58.39
16,5.34501e+08,534501,-0.791992,-73.8647,58.3794
17,5.3451e+08,534510,-0.781099,-73.868,58.3623
18,5.34518e+08,534518,-0.771492,-73.8702,58.3488
19,5.34526e+08,534526,-0.759455,-73.8745,58.3318
20,5.34535e+08,534535,-0.752713,-73.8769,58.3227
21,5.34543e+08,534543,-0.742029,-73.88,58.3067
22,5.34551e+08,534551,-0.737483,-73.8804,58.2985
23,5.3456e+08,534560,-0.726954,-73.884,58.2817
24,5.34568e+08,534568,-0.724325,-73.8847,58.279
25,5.34576e+08,534576,-0.711256,-73.8882,58.2608
26,5.34585e+08,534585,-0.710384,-73.8892,58.2588
27,5.34593e+08,534593,-0.702122,-73.8921,58.2456
28,5.34601e+08,534601,-0.700578,-73.8929,58.24
29,5.3461e+08,534610,-0.692057,-73.8967,58.2253
30,5.34618e+08,534618,-0.688429,-73.8983,58.218
31,5.34626e+08,534626,-0.678149,-73.901,58.2015
32,5.34635e+08,534635,-0.674915,-73.9025,58.195
33,5.34643e+08,534643,-0.665617,-73.9051,58.1795
34,5.34651e+08,534651,-0.664678,-73.9055,58.1754
35,5.3466e+08,534660,-0.655281,-73.9084,58.1602
36,5.34668e+08,534668,-0.651078,-73.9085,58.1528
37,5.34676e+08,534676,-0.641508,-73.9117,58.1372
38,5.34685e+08,534685,-0.638864,-73.9122,58.1308
39,5.34693e+08,534693,-0.629031,-73.9159,58.1147
40,5.34701e+08,534701,-0.624674,-73.9168,58.106
41,5.3471e+08,534710,-0.61523,-73.92,58.0916
42,5.34718e+08,534718,-0.615228,-73.9209,58.0886
43,5.34726e+08,534726,-0.604738,-73.924,58.0724
44,5.34735e+08,534735,-0.600453,-73.9249,58.0669
45,5.34743e+08,534743,-0.588277,-73.9278,58.049
46,5.34751e+08,534751,-0.583677,-73.93,58.043
47,5.3476e+08,534760,-0.575689,-73.9334,58.0294
48,5.34768e+08,534768,-0.570447,-73.9344,58.0234
49,5.34776e+08,534776,-0.559948,-73.9371,58.0072
50,5.34785e+08,534785,-0.557347,-73.9372,58.0025
51,5.34793e+08,534793,-0.547044,-73.9403,57.9865
52,5.34801e+08,534801,-0.542659,-73.9411,57.9783
53,5.3481e+08,534810,-0.532624,-73.9439,57.9632
54,5.34818e+08,534818,-0.52986,-73.9438,57.9578
55,5.34826e+08,534826,-0.520022,-73.9472,57.9424
56,5.34835e+08,534835,-0.51635,-73.9483,57.9395
57,5.34843e+08,534843,-0.507128,-73.9514,57.924
58,5.34851e+08,534851,-0.506143,-73.9527,57.9237
59,5.3486e+08,534860,-0.496147,-73.9554,57.9088
60,5.34868e+08,534868,-0.493956,-73.9565,57.9052
