PacketCounter,SampleTimeFine,timestamp_ms,roll_deg,pitch_deg,yaw_deg
0,5.41519e+08,541519,0.0213497,-74.0504,12.2732
1,5.41528e+08,541528,-0.0138797,-74.0496,12.3098
2,5.41536e+08,541536,-0.0192872,-74.0074,12.2952
3,5.41544e+08,541544,-0.054791,-74.0061,12.3321
4,5.41553e+08,541553,-0.0759194,-73.9824,12.3482
5,5.41561e+08,541561,-0.110331,-73.981,12.384
6,5.41569e+08,541569,-0.106061,-73.9592,12.3617
7,5.41578e+08,541578,-0.140499,-73.9575,12.3968
8,5.41586e+08,541586,-0.150081,-73.9435,12.3953
9,5.41594e+08,541594,-0.187482,-73.9419,12.4338
10,5.41603e+08,541603,-0.199497,-73.9331,12.4289
11,5.41611e+08,541611,-0.230543,-73.9312,12.4614
12,5.41619e+08,541619,-0.245791,-73.9257,12.4599
13,5.41628e+08,541628,-0.281064,-73.9248,12.4963
14,5.41636e+08,541636,-0.29323,-73.9207,12.5024
15,5.41644e+08,541644,-0.329192,-73.9197,12.5396
16,5.41653e+08,541653,-0.341425,-73.918,12.5366
17,5.41661e+08,541661,-0.374662,-73.9164,12.5716
18,5.41669e+08,541669,-0.383138,-73.9145,12.5758
19,5.41678e+08,541678,-0.420171,-73.9135,12.614
20,5.41686e+08,541686,-0.431551,-73.9126,12.6099
21,5.41694e+08,541694,-0.465564,-73.9115,12.6456
22,5.41703e+08,541703,-0.475061,-73.9101,12.6488
23,5.41711e+08,541711,-0.511456,-73.9091,12.6866
24,5.41719e+08,541719,-0.523746,-73.908,12.6927
25,5.41728e+08,541728,-0.559581,-73.9062,12.7301
26,5.41736e+08,541736,-0.576871,-73.9054,12.7456
27,5.41744e+08,541744,-0.61075,-73.9046,12.7809
28,5.41753e+08,541753,-0.623484,-73.9044,12.7903
29,5.41761e+08,541761,-0.65877,-73.9034,12.8269
30,5.41769e+08,541769,-0.672274,-73.9035,12.8413
31,5.41778e+08,541778,-0.706964,-73.9019,12.8771
32,5.41786e+08,541786,-0.719573,-73.9026,12.8867
33,5.41794e+08,541794,-0.752594,-73.9011,12.9213
34,5.41803e+08,541803,-0.762691,-73.9011,12.9314
35,5.41811e+08,541811,-0.797652,-73.8996,12.968
36,5.41819e+08,541819,-0.809122,-73.8996,12.9741
37,5.41828e+08,541828,-0.843978,-73.8981,13.0106
38,5.41836e+08,541836,-0.855352,-73.8975,13.0272
39,5.41844e+08,541844,-0.890216,-73.8964,13.0639
40,5.41853e+08,541853,-0.900465,-73.8961,13.0762
41,5.41861e+08,541861,-0.93385,-73.8953,13.1114
42,5.41869e+08,541869,-0.94676,-73.8956,13.1233
43,5.41878e+08,541878,-0.98413,-73.8951,13.1628
44,5.41886e+08,541886,-0.995884,-73.8942,13.1719
45,5.41894e+08,541894,-1.03029,-73.8929,13.2078
46,5.41903e+08,541903,-1.04259,-73.8921,13.2196
47,5.41911e+08,541911,-1.0766,-73.8899,13.255
48,5.41919e+08,541919,-1.09129,-73.8886,13.2692
49,5.41928e+08,541928,-1.12599,-73.8867,13.3055
50,5.41936e+08,541936,-1.14025,-73.886,13.3214
51,5.41944e+08,541944,-1.1735,-73.8846,13.3555
52,5.41953e+08,541953,-1.18657,-73.8845,13.37
53,5.41961e+08,541961,-1.22224,-73.8824,13.4072
54,5.41969e+08,541969,-1.23555,-73.8816,13.4208
55,5.41978e+08,541978,-1.26912,-73.8801,13.4559
56,5.41986e+08,541986,-1.28503,-73.8802,13.4682
57,5.41994e+08,541994,-1.31872,-73.8786,13.5033
58,5.42003e+08,542003,-1.33268,-73.8785,13.5135
59,5.42011e+08,542011,-1.36581,-73.877,13.5481
60,5.42019e+08,542019,-1.37995,-73.8778,13.5602
61,5.42028e+08,542028,-1.41317,-73.8759,13.5952
62,5.42036e+08,542036,-1.42711,-73.8758,13.6096
63,5.42044e+08,542044,-1.46209,-73.8738,13.6464
64,5.42053e+08,542053,-1.47803,-73.8738,13.6643
65,5.42061e+08,542061,-1.51227,-73.8719,13.6998
66,5.42069e+08,542069,-1.52657,-73.8715,13.7136
67,5.42078e+08,542078,-1.56102,-73.8707,13.7495
68,5.42086e+08,542086,-1.57721,-73.8704,13.764
69,5.42094e+08,542094,-1.61062,-73.868,13.7982
