PacketCounter,SampleTimeFine,timestamp_ms,roll_deg,pitch_deg,yaw_deg
0,5.3959e+08,539590,-1.2479,1.19535,-0.695896
1,5.39599e+08,539599,-1.25422,1.1958,-0.701265
2,5.39607e+08,539607,-1.25407,1.1754,-0.663468
3,5.39615e+08,539615,-1.26048,1.17682,-0.668811
4,5.39624e+08,539624,-1.25451,1.16172,-0.694855
5,5.39632e+08,539632,-1.26112,1.16255,-0.699713
6,5.3964e+08,539640,-1.25577,1.15487,-0.687031
7,5.39649e+08,539649,-1.26253,1.15552,-0.692418
8,5.39657e+08,539657,-1.26629,1.15454,-0.648584
9,5.39665e+08,539665,-1.27351,1.15594,-0.653976
10,5.39674e+08,539674,-1.27473,1.15339,-0.674866
11,5.39682e+08,539682,-1.28124,1.15476,-0.679915
12,5.3969e+08,539690,-1.28282,1.15442,-0.69766
13,5.39699e+08,539699,-1.28854,1.1553,-0.702678
14,5.39707e+08,539707,-1.28779,1.15448,-0.706054
15,5.39715e+08,539715,-1.29415,1.15452,-0.711281
16,5.39724e+08,539724,-1.29569,1.15462,-0.700821
17,5.39732e+08,539732,-1.30165,1.15484,-0.70601
18,5.3974e+08,539740,-1.30407,1.15556,-0.707051
19,5.39749e+08,539749,-1.31065,1.15603,-0.712611
20,5.39757e+08,539757,-1.31289,1.15719,-0.69712
21,5.39765e+08,539765,-1.3196,1.15694,-0.70306
22,5.39774e+08,539774,-1.32187,1.15774,-0.717093
23,5.39782e+08,539782,-1.32883,1.15885,-0.722282
24,5.3979e+08,539790,-1.3312,1.15854,-0.724819
25,5.39799e+08,539799,-1.33837,1.15885,-0.729465
26,5.39807e+08,539807,-1.34052,1.1576,-0.735003
27,5.39815e+08,539815,-1.34751,1.15864,-0.740135
28,5.39824e+08,539824,-1.34973,1.15693,-0.741496
29,5.39832e+08,539832,-1.35633,1.15739,-0.746509
30,5.3984e+08,539840,-1.35763,1.15587,-0.746301
31,5.39849e+08,539849,-1.36464,1.15614,-0.751292
32,5.39857e+08,539857,-1.36613,1.15534,-0.750874
33,5.39865e+08,539865,-1.37235,1.15632,-0.756114
34,5.39874e+08,539874,-1.3738,1.1548,-0.740342
35,5.39882e+08,539882,-1.38107,1.1557,-0.746009
36,5.3989e+08,539890,-1.38293,1.15478,-0.747302
37,5.39899e+08,539899,-1.38952,1.15625,-0.752802
38,5.39907e+08,539907,-1.39186,1.1552,-0.768198
39,5.39915e+08,539915,-1.3986,1.15605,-0.773374
40,5.39924e+08,539924,-1.40137,1.15634,-0.77242
41,5.39932e+08,539932,-1.40873,1.15755,-0.778009
42,5.3994e+08,539940,-1.41176,1.15736,-0.775706
43,5.39949e+08,539949,-1.41824,1.15856,-0.781382
44,5.39957e+08,539957,-1.41978,1.15818,-0.774127
45,5.39965e+08,539965,-1.4258,1.15842,-0.779499
46,5.39974e+08,539974,-1.42963,1.15784,-0.777804
47,5.39982e+08,539982,-1.43638,1.15843,-0.782952
48,5.3999e+08,539990,-1.43929,1.15844,-0.789414
49,5.39999e+08,539999,-1.44646,1.15947,-0.794536
50,5.40007e+08,540007,-1.45036,1.15927,-0.815777
51,5.40015e+08,540015,-1.45689,1.15909,-0.820913
52,5.40024e+08,540024,-1.46,1.15893,-0.818544
53,5.40032e+08,540032,-1.46754,1.15911,-0.823356
54,5.4004e+08,540040,-1.47047,1.16003,-0.817505
55,5.40049e+08,540049,-1.47696,1.1604,-0.82306
56,5.40057e+08,540057,-1.47951,1.1611,-0.818891
57,5.40065e+08,540065,-1.48677,1.16206,-0.823768
58,5.40074e+08,540074,-1.48852,1.16225,-0.821003
59,5.40082e+08,540082,-1.4942,1.16353,-0.82578
60,5.4009e+08,540090,-1.49639,1.1641,-0.824941
61,5.40099e+08,540099,-1.50324,1.16455,-0.829938
62,5.40107e+08,540107,-1.50716,1.16445,-0.834991
63,5.40115e+08,540115,-1.51345,1.16529,-0.840046
64,5.40124e+08,540124,-1.51598,1.16512,-0.835923
65,5.40132e+08,540132,-1.52342,1.16591,-0.8411
66,5.4014e+08,540140,-1.5258,1.16598,-0.84027
67,5.40149e+08,540149,-1.53318,1.16671,-0.845905
68,5.40157e+08,540157,-1.53615,1.16697,-0.837581
69,5.40165e+08,540165,-1.54292,1.16781,-0.842627
70,5.40174e+08,540174,-1.54557,1.16826,-0.844676
71,5.40182e+08,540182,-1.55301,1.16892,-0.849288
72,5.4019e+08,540190,-1.55639,1.16932,-0.863415
73,5.40199e+08,540199,-1.56396,1.17033,-0.869193
74,5.40207e+08,540207,-1.56667,1.17019,-0.875896
75,5.40215e+08,540215,-1.57461,1.17156,-0.881462
76,5.40224e+08,540224,-1.57694,1.17258,-0.87267
77,5.40232e+08,540232,-1.58309,1.17376,-0.877161
78,5.4024e+08,540240,-1.5862,1.17347,-0.865965
79,5.40248e+08,540248,-1.59294,1.17463,-0.87138
80,5.40257e+08,540257,-1.59695,1.17529,-0.871666
81,5.40265e+08,540265,-1.6041,1.17666,-0.87688
82,5.40273e+08,540273,-1.60712,1.17722,-0.876214
83,5.40282e+08,540282,-1.61415,1.1781,-0.880883
84,5.4029e+08,540290,-1.61718,1.17797,-0.877836
85,5.40298e+08,540298,-1.62419,1.17865,-0.883613
86,5.40307e+08,540307,-1.62671,1.17954,-0.884893
87,5.40315e+08,540315,-1.63352,1.17994,-0.889319
88,5.40323e+08,540323,-1.63556,1.18032,-0.891094
89,5.40332e+08,540332,-1.64221,1.18144,-0.895545
90,5.4034e+08,540340,-1.64529,1.18105,-0.888609
91,5.40348e+08,540348,-1.6512,1.18112,-0.894208
92,5.40357e+08,540357,-1.65368,1.18112,-0.88779
93,5.40365e+08,540365,-1.66082,1.18105,-0.892791
94,5.40373e+08,540373,-1.66362,1.18132,-0.892451
95,5.40382e+08,540382,-1.6704,1.18252,-0.897262
96,5.4039e+08,540390,-1.6731,1.18216,-0.90468
97,5.40398e+08,540398,-1.6797,1.18313,-0.909386
98,5.40407e+08,540407,-1.6819,1.18326,-0.911503
99,5.40415e+08,540415,-1.68991,1.18385,-0.916464
100,5.40423e+08,540423,-1.69274,1.18442,-0.907294
101,5.40432e+08,540432,-1.70059,1.18585,-0.912223
102,5.4044e+08,540440,-1.70384,1.18618,-0.907303
103,5.40448e+08,540448,-1.71058,1.18717,-0.911763
104,5.40457e+08,540457,-1.71244,1.18721,-0.907344
105,5.40465e+08,540465,-1.71872,1.18744,-0.912681
106,5.40473e+08,540473,-1.72107,1.18748,-0.915047
107,5.40482e+08,540482,-1.72739,1.18798,-0.919875
108,5.4049e+08,540490,-1.72966,1.18794,-0.924487
109,5.40498e+08,540498,-1.73691,1.18892,-0.929067
110,5.40507e+08,540507,-1.7403,1.18989,-0.933038
111,5.40515e+08,540515,-1.74729,1.19127,-0.938027
112,5.40523e+08,540523,-1.7497,1.19111,-0.938004
